model,feature,importance
GitHub Program Delay Risk,body_length,0.13531163598317794
GitHub Program Delay Risk,repo_size,0.0741127398802973
GitHub Program Delay Risk,comment_count,0.07390464339035362
GitHub Program Delay Risk,created_day_of_week,0.06420148879470561
GitHub Program Delay Risk,created_month,0.03844226393295813
GitHub Program Delay Risk,repo_forks,0.027762560668025033
GitHub Program Delay Risk,title_length,0.02615118171510265
GitHub Program Delay Risk,has_triage_signal,0.015629518095393886
GitHub Program Delay Risk,has_blocker_signal,0.01203619433155175
GitHub Program Delay Risk,has_milestone,0.004319902147050618
GitHub Program Delay Risk,repo_open_issues,0.003004277476737353
GitHub Program Delay Risk,repo_stars,0.002470741091404068
GitHub Program Delay Risk,item_type_code,0.0016096721484791059
GitHub Program Delay Risk,locked,0.0
GitHub Program Delay Risk,portfolio_domain_code,0.0
GitHub Program Delay Risk,source_repo_code,0.0
GitHub Program Delay Risk,repo_watchers,0.0
GitHub Program Delay Risk,program_code,-0.0003525356570093785
GitHub Program Delay Risk,has_bug_signal,-0.004794193642704799
GitHub Program Delay Risk,assignee_count,-0.006288396252231358
GitHub Program Delay Risk,has_priority_signal,-0.011681090164069171
GitHub Program Delay Risk,author_association_code,-0.03549372653719616
GitHub Program Delay Risk,label_count,-0.0941274973715035
